Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
Add pytest unit tests for results-service,CV-14,10305,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:58 PM,23/Mar/26 10:06 PM,23/Mar/26 9:50 PM,,,0,"Create results-service/tests/test_results.py with pytest unit tests.

Key functions to test in results-service/app.py:

  GET /elections/{id}/results

* Returns 400/403 while election is still open (tested in test_api.py
Stage 4 — must be preserved)
* Returns 200 with correct structure after election is closed:
total_votes, candidates with vote counts and percentages, winner
* Returns 404 for non-existent election

  GET /elections/{id}/audit

* Returns hash-chained audit trail for a closed election
* Each entry should have a valid hash linking to the previous entry

  GET /elections/{id}/statistics

* Returns detailed stats and timeline for a closed election

Note: results-service/app.py has logging.getLogger(""results-service"")
declared but never called anywhere. The JSON API endpoints (get_results,
get_audit_trail, get_statistics) have no try/except blocks at all.
The HTML view results_page() only catches HTTPException — DB and network
errors propagate unhandled.

Tests should use a mock DB pool to simulate DB failures and assert that
a meaningful error is returned rather than an unformatted 500.

results-service uses the results_service DB role which has SELECT only
on votes — tests should verify it cannot INSERT or UPDATE votes.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000fk:,,,,,,,In Progress,23/Mar/26 9:34 AM
Add pytest unit tests for auth-service,CV-10,10301,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:56 PM,23/Mar/26 9:59 AM,23/Mar/26 9:34 AM,,,0,"Create auth-service/tests/test_auth.py with pytest unit tests using
FastAPI's TestClient.

Key functions to test in auth-service/app.py:

  POST /register

* Returns 201 with organiser_id on valid input
* Returns 409 when email already exists (checks ""unique"" in str(e) — this
raw error handling should be tested to confirm it catches the right case)
* Returns 422 on missing fields

  POST /login

* Returns 200 with JWT token on valid credentials
* Returns 401 on wrong password
* JWT payload contains organiser_id, email, exp fields

  GET /tokens/{token}/validate

* Returns {""valid"": true} for valid unused token
* Returns {""valid"": false} for used/expired token

  POST /mfa/verify

* Returns 200 on correct date_of_birth
* Returns 403 on wrong date_of_birth (current message: ""Date of birth
does not match our records"" — auth-service/app.py lines 218-222)

Note: login(), validate_voting_token(), mfa_status(), and issue_ballot_token()
currently have no try/except blocks. DB errors propagate as unformatted 500s.
Tests should use a mock DB pool (via conftest.py fixture) to simulate failures
and assert they return 500 without leaking raw error strings.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000fl:,,,,,,,In Progress,23/Mar/26 9:34 AM
Fix test_db.py immutability and hash trigger assertions against current schema,CV-42,10429,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,23/Mar/26 8:27 AM,23/Mar/26 8:39 AM,23/Mar/26 8:28 AM,,,0,"Tests 5 and 6 in tests/test_db.py were written against the old schema and
reference a votes table and triggers that no longer exist. Both tests fail
on every run against the live cluster.

Current failures:
  ❌ Test 5 — Immutability triggers not found on votes table
  ❌ Test 6 — Hash generation trigger not found on votes table

----

BACKGROUND:

Old schema (now gone):
  Table:               votes
  Immutability:        prevent_vote_update, prevent_vote_delete on votes
  Hash trigger:        generate_vote_hash_trigger on votes

Current schema.sql:
  Table:               encrypted_ballots
  Immutability:        immutable_ballots (function: prevent_ballot_modification)
                       on encrypted_ballots
  Hash trigger:        auto_ballot_hash (function: generate_ballot_hash)
                       on encrypted_ballots
  Audit immutability:  immutable_audit (function: prevent_audit_modification)
                       on audit_log
  Audit hash trigger:  auto_audit_hash (function: generate_audit_hash)
                       on audit_log

----

DELIVERABLES:

Test 5 — Vote Immutability:

  Update trigger assertions to target encrypted_ballots instead of votes.
  Assert the following triggers exist:
    - immutable_ballots on encrypted_ballots
    - immutable_audit on audit_log

  Update the immutability test to verify the trigger fires by attempting
  an UPDATE or DELETE on encrypted_ballots and asserting it raises an
  exception containing:
    ""Encrypted ballots are immutable""

Test 6 — Hash Generation:

  Update hash trigger assertion to target encrypted_ballots instead of votes.
  Assert the following trigger exists:
    - auto_ballot_hash on encrypted_ballots

  Update the hash generation test to verify the trigger fires by inserting
  a row into encrypted_ballots and asserting that ballot_hash is populated
  automatically.

  Note: inserting into encrypted_ballots requires pgp_sym_encrypt. If a
  live insert is too complex to set up in the test, assert trigger existence
  via the pg_trigger catalogue query instead:
    SELECT trigger_name FROM information_schema.triggers
    WHERE event_object_table = 'encrypted_ballots'
    AND trigger_name = 'auto_ballot_hash';

  Update all comments, docstrings, and log messages in both tests to
  reflect the new table and trigger names.

----

CONSTRAINTS:

* Read schema.sql in full before editing to confirm exact trigger names
* Do not change any test other than Tests 5 and 6
* Do not modify schema.sql, create_roles.sql, or seed_data.sql
* Run python3 tests/test_db.py --quick after changes and confirm output

----

ACCEPTANCE CRITERIA:

* python3 tests/test_db.py --quick passes all 10 tests against live cluster
* Tests 5 and 6 assert correct trigger names on correct tables
* No other test results change from their current pass/fail state",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000fn:,,,,,,,In Progress,23/Mar/26 8:27 AM
Add python-json-logger to all service requirements.txt,CV-1,10292,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:35 PM,20/Mar/26 9:07 PM,,,,0,"Add {{python-json-logger}} as a dependency to the requirements.txt of all 6 services:
auth-service, election-service, voting-service, results-service, voter-service, frontend-service.

No service currently has this dependency. All services use Python's built-in logging
module with unstructured text output, which cannot be parsed by log aggregators.

Add to each requirements.txt:
  python-json-logger==2.0.7

Note: frontend-service already has 3 unused dependencies (asyncpg, passlib, bcrypt).
Remove these at the same time to keep the file clean.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000fr:,,,,,,,In Progress,20/Mar/26 9:07 PM
Replace basic logging with structured JSON formatter,CV-2,10293,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:36 PM,21/Mar/26 5:08 AM,,,,0,"Replace the existing unstructured logging setup in all 6 services with structured JSON output using {{python-json-logger}}, centralised through a shared configuration module.

*Current state per service:*

* {{auth-service}}: {{logging.getLogger(""auth-service"")}} declared but never called
* {{election-service}}: no logger declared at all
* {{voting-service}}: no logger declared at all
* {{results-service}}: {{logging.getLogger(""results-service"")}} declared but never called
* {{voter-service}}: logger used in 2 places (email failures only)
* {{frontend-service}}: no logger declared at all

----

*Step 1 — Create* {{shared/logging_config.py}}

Create a new file at {{shared/logging_config.py}}:

{noformat}import logging
import logging.config

LOGGING = {
    'version': 1,
    'disable_existing_loggers': False,
    'formatters': {
        'json': {
            'format': '%(asctime)s %(name)s %(levelname)s %(message)s',
            'datefmt': '%Y-%m-%dT%H:%M:%SZ',
            'class': 'pythonjsonlogger.jsonlogger.JsonFormatter',
        }
    },
    'handlers': {
        'stdout': {
            'class': 'logging.StreamHandler',
            'stream': 'ext://sys.stdout',
            'formatter': 'json',
        }
    },
    'loggers': {
        '': {
            'handlers': ['stdout'],
            'level': 'INFO',
        }
    },
}

def configure_logging():
    logging.config.dictConfig(LOGGING)
{noformat}

----

*Step 2 — Update each service* {{app.py}}

In every {{app.py}}, remove any existing inline logging setup and replace with:

{noformat}import logging
from logging_config import configure_logging

configure_logging()
logger = logging.getLogger('service-name')
{noformat}

{quote}Note: import as {{from logging_config import configure_logging}} (not {{from shared.logging_config}}) since {{shared/}} is added directly to {{sys.path}} by each service's path-resolution block. {{frontend-service}} requires the {{sys.path}} block to be added as it currently has none.{quote}

Logger names: {{auth-service}}, {{election-service}}, {{voting-service}}, {{results-service}}, {{voter-service}}, {{frontend-service}}.

----

*Step 3 — Add structured log calls*

Use {{%}}-style formatting (not f-strings) throughout.

* *INFO* at the entry point of every route handler:

{noformat}logger.info('Request received: %s %s', request.method, request.url.path)
{noformat}

All JSON API route handlers that do not already accept {{request: Request}} must have it added as a parameter.

* *WARNING* on auth failure or invalid token (401/403 rejections):

{noformat}logger.warning('Auth failure: %s', reason)
{noformat}

Apply in: {{auth-service}} ({{login}}, {{verify_token}}), {{voter-service}} ({{verify_identity}} DOB mismatch), {{frontend-service}} ({{login}}).

* *ERROR* on caught DB errors — replace raw {{str(e)}} returned to the client with:

{noformat}logger.error('Database error in %s: %s', function_name, e)
{noformat}

Return a generic {{""Internal server error""}} message to the client. Apply in: {{auth-service}} {{register()}} and {{voter-service}} {{add_voter()}}.

* *ERROR* on failed external {{httpx}} calls in {{voting-service}} and {{frontend-service}} (currently unhandled):

{noformat}logger.error('External service call failed: %s %s — %s', method, url, e)
{noformat}

Return a service unavailable response after logging. Do not interpolate token values into the URL string in log messages.

----

*Constraints*

* Do not log any sensitive values — no passwords, tokens, or voter identifiers.
* Do not change any business logic, route behaviour, or response structures beyond what is described above.
* Only modify {{shared/logging_config.py}} and the six {{app.py}} files.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000fz:,,,,"20/Mar/26 9:31 PM;63bb170a2341bff4fff5d364;I updated the ticket to have a central logger in the /shared directory over the different logger in each service.

Old Description:
Replace the existing unstructured logging setup in all 6 services with structured
JSON output using python-json-logger.

Current state per service:

* auth-service: logging.getLogger(""auth-service"") declared but never called
* election-service: no logger declared at all
* voting-service: no logger declared at all
* results-service: logging.getLogger(""results-service"") declared but never called
* voter-service: logging.getLogger(*name*) used in 2 places (email failures only)
* frontend-service: no logger declared at all

Replace with this pattern in every app.py:

import logging
from pythonjsonlogger import jsonlogger

logger = logging.getLogger(""service-name"")
handler = logging.StreamHandler()
handler.setFormatter(jsonlogger.JsonFormatter(
fmt=""%(asctime)s %(name)s %(levelname)s %(message)s""
))
logger.addHandler(handler)
logger.setLevel([http://logging.INFO|http://logging.INFO|smart-link]  )

Add structured log calls at key points in each service:

* Request received (INFO)
* Auth failure / invalid token (WARNING)
* DB error caught in except blocks (ERROR) — currently auth-service register()
and voter-service add_voter() log raw str(e) directly to the client response,
which must be replaced with logger.error() calls
* External HTTP call failures in voting-service and frontend-service httpx calls
(currently completely unhandled — would produce unformatted 500s)",20/Mar/26 9:31 PM;63bb170a2341bff4fff5d364;Updated Description to reflect more accurate changes made.,"21/Mar/26 5:08 AM;63bb170a2341bff4fff5d364;Used following guide for help:

[https://betterstack.com/community/guides/logging/python/python-logging-best-practices/|https://betterstack.com/community/guides/logging/python/python-logging-best-practices/|smart-link] ",In Progress,20/Mar/26 9:31 PM
Deploy MailHog to cluster as a test SMTP server,CV-3,10294,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:36 PM,21/Mar/26 8:42 AM,21/Mar/26 8:40 AM,,,0,"Deploy MailHog as an in-cluster SMTP server so the test suite can receive and inspect emails without requiring external SMTP access.

*Background*

The cluster's {{00-default-deny}} network policy blocks all outbound traffic. Port 587 to {{smtp.gmail.com}} has no egress policy, so emails cannot leave the cluster. The current {{test_api.py}} works around this at line 387 by inserting voting tokens directly into the database via {{kubectl exec psql}}, bypassing the email flow entirely. MailHog replaces this workaround by catching emails inside the cluster.

Additionally, {{SMTP_USER}} and {{SMTP_PASS}} are currently missing from {{admin-deployment.yaml}} entirely. This causes Gmail auth to silently fail — {{SMTP_PASS}} defaults to {{""""}} in {{shared/email_util.py}}, which short-circuits the credentials check before any connection is attempted.

----

*Deliverable 1 — Create* {{k8s/mailhog/mailhog-deployment.yaml}}

MailHog is a *local development tool only*. This manifest must be scoped to {{uvote-dev}} and must never be promoted to {{uvote-test}} or {{uvote-prod}}.

* Image: {{mailhog/mailhog:latest}}
* SMTP port: {{1025}} (receives emails from services)
* HTTP API port: {{8025}} (used by tests to retrieve emails)
* Namespace: {{uvote-dev}}
* Service type: {{ClusterIP}} (internal only, not exposed via Ingress)

----

*Deliverable 2 — Create network policy:* {{k8s/network-policies/05-allow-mailhog.yaml}}

Create two {{NetworkPolicy}} resources following the established two-policy pattern from {{02-allow-to-database.yaml}} and {{04-allow-audit.yaml}}:

* {{allow-mailhog-egress}} (policy-order: {{05a}}): egress from {{app: admin-service}} to {{mailhog:1025}}, plus DNS
* {{allow-mailhog-ingress}} (policy-order: {{05b}}): ingress to {{app: mailhog}} from {{app: admin-service}} on port {{1025}}

Note: {{voter-service/}} source code is deployed as a Kubernetes Deployment named {{admin-service}} with label {{app: admin-service}}. This is the service that sends voting token emails via {{shared/email_util.py}}.

----

*Deliverable 3 — Update* {{admin-deployment.yaml}} *and* {{deploy_platform.py}}

Per *ADR011*, SMTP credentials must never be stored as inline {{value:}} fields in deployment manifests. They are created at deploy time by {{deploy_platform.py}} using {{kubectl create secret}}, and pods reference them via {{secretKeyRef}}. This is the same pattern used for {{db-credentials}}, {{jwt-secret}}, and {{flask-secret}}.

{{admin-deployment.yaml}} — replace any existing inline SMTP {{value:}} fields with {{secretKeyRef}} entries pointing to an {{smtp-credentials}} Secret:

{noformat}- name: SMTP_HOST
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_HOST
- name: SMTP_PORT
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_PORT
- name: SMTP_USE_TLS
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_USE_TLS
- name: SMTP_FROM
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_FROM
- name: SMTP_USER
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_USER
      optional: true
- name: SMTP_PASS
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: SMTP_PASS
      optional: true
- name: FRONTEND_URL
  valueFrom:
    secretKeyRef:
      name: smtp-credentials
      key: FRONTEND_URL
{noformat}

The manifest must remain identical and valid across all environments. No environment-specific values ({{mailhog}}, {{1025}}, etc.) may appear as inline {{value:}} fields.

{{deploy_platform.py}} — add an {{smtp-credentials}} secret creation block in the secrets section, with a prominent comment marking it as dev/local only:

{noformat}# -----------------------------------------------------------------------
# SMTP credentials — DEV/LOCAL ONLY (MailHog)
# This secret points to the in-cluster MailHog fake SMTP server.
# MailHog is NOT deployed in uvote-test or uvote-prod.
# For production namespaces, replace these values with real SMTP provider
# credentials before creating this secret.
# admin-deployment.yaml is environment-agnostic — it reads SMTP config
# from this secret via secretKeyRef regardless of environment.
# -----------------------------------------------------------------------
kubectl create secret generic smtp-credentials \
  --from-literal=SMTP_HOST=mailhog \
  --from-literal=SMTP_PORT=1025 \
  --from-literal=SMTP_USE_TLS=false \
  --from-literal=SMTP_FROM=uvote@test.local \
  --from-literal=SMTP_USER="""" \
  --from-literal=SMTP_PASS="""" \
  --from-literal=FRONTEND_URL=http://frontend-service:5000 \
  --namespace=uvote-dev \
  --dry-run=client -o yaml | kubectl apply -f -
{noformat}

----

*Implementation Note — Why* {{secretKeyRef}} *instead of inline values*

The original ticket described setting env vars as inline {{value:}} fields. During implementation this was revised to use {{secretKeyRef}} in order to comply with ADR011 and keep {{admin-deployment.yaml}} environment-agnostic. Inline MailHog values in the base manifest would be inherited by {{uvote-test}} and {{uvote-prod}} on promotion, pointing those environments at a service that does not exist outside {{uvote-dev}}. The {{secretKeyRef}} pattern isolates all environment-specific SMTP configuration to {{deploy_platform.py}}, which is the established and approved approach for all credentials in this project.

----

*Acceptance Criteria*

* {{k8s/mailhog/mailhog-deployment.yaml}} exists, deploys to {{uvote-dev}} only, exposes ports {{1025}} and {{8025}}
* {{05-allow-mailhog.yaml}} permits egress from {{admin-service}} to {{mailhog:1025}} and ingress to {{mailhog}} from {{admin-service}}
* {{admin-deployment.yaml}} contains zero inline {{value:}} fields for SMTP configuration — all SMTP env vars use {{secretKeyRef}} pointing to {{smtp-credentials}}
* {{deploy_platform.py}} creates the {{smtp-credentials}} secret with MailHog values for {{uvote-dev}}, with a comment clearly marking it as dev-only
* No MailHog references appear in {{shared/email_util.py}} or any production application code",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000g7:,,,,21/Mar/26 6:16 AM;63bb170a2341bff4fff5d364;Updated the ticket to better reflect the project requirements and ADRs ,,,In Progress,21/Mar/26 5:54 AM
Configure email-service to point to MailHog in test environment,CV-4,10295,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:37 PM,21/Mar/26 10:22 AM,21/Mar/26 10:10 AM,,,0,"Update the SMTP environment variables in the voter-service Kubernetes manifest
to route emails to MailHog instead of [smtp.gmail.com|http://smtp.gmail.com].

Current state in admin-deployment.yaml (voter-service is deployed here):

* name: SMTP_HOST
value: ""[smtp.gmail.com|http://smtp.gmail.com]""
* name: SMTP_PORT
value: ""587""
SMTP_USER, SMTP_PASS, SMTP_FROM, FRONTEND_URL are all missing — they fall
back to defaults in shared/email_util.py, causing silent auth failure.

Update to:
  SMTP_HOST:    mailhog
  SMTP_PORT:    ""1025""
  SMTP_USE_TLS: ""false""
  SMTP_FROM:    ""uvote@test.local""
  FRONTEND_URL: ""[http://frontend-service:5000|http://frontend-service:5000]""

SMTP_USER and SMTP_PASS should be left unset or empty — MailHog accepts
unauthenticated connections.

This unblocks the full token generation flow in tests, removing the need for
the kubectl exec psql workaround in test_api.py line 387.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000g9:,,,,"21/Mar/26 10:11 AM;63bb170a2341bff4fff5d364;All aspects apart from the test_api.py is completed.
I will leave the test_api.py till when I am working on other tests in the file.
Currently I am focused on the test functionality.",,,In Progress,21/Mar/26 8:42 AM
Write test helper function to query MailHog API and extract voting token URL,CV-5,10296,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:37 PM,21/Mar/26 10:16 AM,21/Mar/26 10:14 AM,,,0,"Write a helper function that queries the MailHog HTTP API to retrieve the
voting token URL sent by voter-service after token generation.

The voter-service sends voting token emails via send_voting_token_email() in
shared/email_util.py. The email contains a direct voting URL in the format:
  {FRONTEND_URL}/vote/{token}

There is no OTP code to extract — the token IS the credential. The test helper
needs to parse the URL from the email body.

Note: send_otp_email() in shared/email_util.py is completely unused dead code —
it is never called from any service. Do not reference it in tests.

Implement in tests/helpers/mailhog.py:

  import httpx

  MAILHOG_API = ""[http://localhost:8025/api/v2/messages|http://localhost:8025/api/v2/messages]""

  async def get_latest_voting_token(voter_email: str) -> str:
      """"""Query MailHog API, find email to voter_email, extract /vote/{token} URL.""""""
      response = await httpx.AsyncClient().get(MAILHOG_API)
      messages = response.json()[""items""]
      for msg in messages:
          recipients = [r[""Mailbox""] + ""@"" + r[""Domain""]
                        for r in msg[""To""]]
          if voter_email in recipients:
              body = msg[""Content""][""Body""]
              # Extract token from URL: /vote/{token}
              token = body.split(""/vote/"")[1].split('""')[0].strip()
              return token
      raise AssertionError(f""No email found for {voter_email} in MailHog"")",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000gb:,,,,,,,In Progress,21/Mar/26 8:42 AM
Add MailHog OTP extraction to conftest.py as a shared pytest fixture,CV-6,10297,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:38 PM,22/Mar/26 8:30 AM,22/Mar/26 8:29 AM,,,0,"Add a shared pytest fixture in tests/conftest.py that provides the MailHog
email helper to all test suites.

The fixture should:

# Port-forward MailHog API port 8025 to localhost for the test session
# Provide a get_voting_token(email) async helper
# Clear all MailHog messages before each test via DELETE /api/v1/messages

This replaces the current workaround in test_api.py line 387 where the voting
token is inserted directly into the database via kubectl exec psql because
outbound SMTP was blocked. With MailHog deployed, the full email flow can
be tested properly.

Example fixture:

  @pytest.fixture(scope=""session"")
  def mailhog():
      return MailHogHelper(base_url=""[http://localhost:8025|http://localhost:8025]"")

  @pytest.fixture(autouse=True)
  async def clear_mailhog(mailhog):
      await mailhog.clear_all()
      yield",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000gv:,,,,,,,In Progress,21/Mar/26 8:42 AM
"Fix voter-service health endpoint returning ""voter"" instead of ""admin""",CV-7,10298,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:38 PM,22/Mar/26 8:40 AM,22/Mar/26 8:40 AM,,,0,"voter-service/app.py returns the wrong service identifier in its health endpoint.

Current response (voter-service/app.py line ~81):
  {""status"": ""healthy"", ""service"": ""voter""}

This service is deployed as admin-service in the cluster
(admin-deployment.yaml, label: app: admin-service). Any health check
asserting the deployed service name will fail.

Fix: change the health response to match the deployment identity:
  {""status"": ""healthy"", ""service"": ""admin""}

Note: frontend-service has NO /health endpoint at all. The deploy script
cannot health-check it. Add a basic health endpoint to frontend-service/app.py:

  @app.get(""/health"")
  async def health():
      return {""status"": ""healthy"", ""service"": ""frontend""}",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000gx:,,,,,,,In Progress,22/Mar/26 8:31 AM
